Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,April Miller,F,9th,Miller High School,99,92
1,Robert Martinez,M,9th,Miller High School,99,71
2,Brandon Perkins,M,9th,Miller High School,93,89
3,Sierra Hernandez,F,10th,Miller High School,89,94
4,Nicole Johnson,F,10th,Miller High School,89,77
5,Lisa Reid,F,10th,Miller High School,91,93
6,Sarah Miller,F,12th,Miller High School,99,75
7,Jonathan Galloway,M,12th,Miller High School,89,85
8,Mark Flores,M,9th,Miller High School,91,81
9,Nicholas Lester,M,10th,Miller High School,93,95
10,Anthony Townsend,M,12th,Miller High School,92,78
11,Kimberly Palmer,F,11th,Miller High School,91,87
12,Kara Duran,F,9th,Miller High School,91,98
13,Jose White,M,9th,Miller High School,96,95
14,Diana White,F,11th,Miller High School,98,95
15,Joshua Alvarez,M,12th,Miller High School,95,93
16,Jennifer Jackson,F,12th,Miller High School,89,73
17,Kathy Mayer,F,9th,Miller High School,96,70
18,Cameron Powell,M,10th,Miller High School,92,80
19,William Curtis,M,11th,Miller High School,96,69
20,Matthew Gomez,M,11th,Miller High School,93,91
21,Antonio Sweeney,M,10th,Miller High School,93,86
22,William Serrano,M,10th,Miller High School,98,89
23,Peter King,M,9th,Miller High School,91,93
24,Ryan Mcdaniel,M,12th,Miller High School,95,99
25,Curtis Holloway,M,10th,Miller High School,99,96
26,Christina Watson,F,10th,Miller High School,95,97
27,Laura Perry,F,11th,Miller High School,91,74
28,Joan Russell,F,10th,Miller High School,98,83
29,Johnathan Burton,M,9th,Miller High School,97,69
30,Sheila Lee,F,9th,Miller High School,99,72
31,Todd Garrett,M,12th,Miller High School,93,72
32,Brandy Lewis,F,12th,Miller High School,90,82
33,Tracy Alvarez,F,11th,Miller High School,91,97
34,Lucas Johnson,M,9th,Miller High School,91,74
35,Maria Williams,F,12th,Miller High School,98,69
36,Peggy Sharp,F,10th,Miller High School,97,80
37,David Martinez,M,10th,Miller High School,90,73
38,Isabel Medina,F,10th,Miller High School,90,97
39,Elizabeth Gallegos,F,10th,Miller High School,97,85
40,Tony Sheppard,M,12th,Miller High School,99,90
41,Ariel Klein,F,9th,Miller High School,89,78
42,Jessica Mcdonald,F,12th,Miller High School,94,78
43,Kimberly Navarro,F,10th,Miller High School,91,82
44,Sara Blair,F,10th,Miller High School,97,88
45,Haley White,F,9th,Miller High School,94,84
46,Katherine Gould,F,9th,Miller High School,90,96
47,Shannon Evans,M,9th,Miller High School,97,83
48,Kelly Brown,F,9th,Miller High School,94,72
49,Melanie Baker MD,F,12th,Miller High School,98,83
50,Sean Rodriguez,M,10th,Miller High School,92,80
51,Heather Wilson,F,12th,Miller High School,97,74
52,Kevin Cox,M,10th,Miller High School,94,82
53,Melissa Greene,F,12th,Miller High School,91,98
54,James Frank,M,9th,Miller High School,93,77
55,Eric Decker,M,9th,Miller High School,99,77
56,Christine Mullins,F,10th,Miller High School,98,86
57,Lindsay Baldwin,F,11th,Miller High School,98,89
58,Charles Gentry,M,9th,Miller High School,91,80
59,Robert Armstrong,M,9th,Miller High School,91,99
60,Jessica Warner,F,10th,Miller High School,91,68
61,David Willis,M,11th,Miller High School,91,72
62,Tanner Turner,M,11th,Miller High School,98,77
63,Mrs. Betty Delacruz DVM,F,10th,Miller High School,97,70
64,Kim Clayton,F,9th,Miller High School,90,81
65,Christina Carr,F,9th,Miller High School,99,69
66,Donald Brown,M,10th,Miller High School,96,86
67,Jordan Mann,F,11th,Miller High School,96,94
68,Ms. Shelly Porter,F,10th,Miller High School,95,77
69,Destiny Lewis,F,11th,Miller High School,95,69
70,Alexander Chan,M,9th,Miller High School,89,94
71,Kevin Duncan,M,10th,Miller High School,99,85
72,Marcus Roberson,M,12th,Miller High School,96,89
73,Jennifer Aguilar,F,10th,Miller High School,90,75
74,Mary Washington,F,10th,Miller High School,95,98
75,Kristin Harris,F,10th,Miller High School,97,74
76,Alexis Knapp,F,9th,Miller High School,91,84
77,Ryan Jones,M,12th,Miller High School,89,91
78,Elizabeth Johnson,F,10th,Miller High School,95,70
79,Michele Smith,F,10th,Miller High School,94,92
80,David Baker,M,9th,Miller High School,89,74
81,Joshua Luna,M,10th,Miller High School,99,80
82,Heather Taylor,F,9th,Miller High School,92,95
83,Matthew Waters,M,10th,Miller High School,93,76
